DateTime,AddedIPs,RemovedIPs
1632710427,7,1
1632711146,7,5
1632711874,4,15
1632712589,4,2
1632713306,3,3
1632714024,10,4
1632714749,4,8
1632715474,5,8
1632716429,7,5
1632717144,3,0
1632717870,3,4
1632718589,7,1
1632719309,1,0
1632720024,2,1
1632720746,4,1
1632721466,1,4
1632722193,1,1
1632722909,4,2
1632723624,2,0
1632724343,4,5
1632725064,6,2
1632725850,3,5
1632726749,4,2
1632727465,3,4
1632728191,6,74
1632728905,6,2
1632729633,3,1
1632730590,3,5
1632731305,3,3
1632732033,5,2
1632732744,4,0
1632733472,0,3
1632734188,9,1
1632734905,3,7
1632735623,4,2
1632736346,2,3
1632737070,4,4
1632738006,3,3
1632738729,7,2
1632739446,5,1
1632740412,4,1
1632741371,1,2
1632742088,2,3
1632742807,1,2
1632743526,3,7
1632744424,3,3
1632745231,5,4
1632745943,2,0
1632746665,3,0
1632747386,1,1
1632748350,9,10
1632749068,3,1
1632749787,4,1
1632750506,2,1
1632751130,7,2
1632751929,4,0
1632752647,4,6
1632753613,6,11
1632754324,6,0
1632755054,2,0
1632755772,2,1
1632756486,3,4
1632757206,5,9
1632758007,3,0
1632758653,2,4
1632759609,2,1
1632760324,2,7
1632761047,7,3
1632761766,5,5
1632762489,3,1
1632763205,5,5
1632763925,3,1
1632764650,4,4
1632765624,6,4
1632766328,3,5
1632767048,1,0
1632767786,3,4
1632768492,5,4
1632769216,6,2
1632769946,3,3
1632770663,5,10
1632771389,1,3
1632772104,4,6
1632773218,2,4
1632774259,3,1
1632774970,3,5
1632775688,4,7
1632776663,3,4
1632777371,4,4
1632778089,2,4
1632779049,10,4
1632779767,2,5
1632780734,5,0
1632781450,3,1
1632782171,4,5
1632783128,2,5
1632783853,4,3
1632784576,4,4
1632785288,2,7
1632786248,11,1
1632786966,1,6
1632787687,3,3
1632788412,9,1
1632789263,3,6
1632789870,5,4
1632790582,1,6
1632791552,7,0
1632792270,2,8
1632792986,9,0
1632793705,10,10
1632794434,8,9
1632795143,11,10
1632795867,5,7
1632796587,4,8
1632797305,4,5
1632798255,6,7
1632799210,5,7
1632799925,1,5
1632800645,8,7
1632801366,7,5
1632802085,8,7
1632802808,2,0
1632803525,1,5
1632804246,0,8
1632804966,3,5
1632805931,2,5
1632806756,7,2
1632807387,1,4
1632808102,2,2
1632808832,5,2
1632809544,0,3
1632810263,3,5
1632810988,1,0
1632811710,5,2
1632812426,3,3
1632813147,3,0
1632813868,3,2
1632814587,1,0
1632815552,6,5
1632816220,5,4
1632816853,3,0
1632817476,4,3
1632818187,2,3
1632818903,3,1
1632819635,3,1
1632820342,2,3
1632821064,9,4
1632821788,2,4
1632822506,6,1
1632823241,3,5
1632823947,3,2
1632824666,2,2
1632825470,2,0
1632826105,3,0
1632826835,5,2
1632827543,2,0
1632828264,2,2
1632828991,3,4
1632829710,6,2
1632830434,2,3
1632831389,3,3
1632832105,4,4
1632832825,4,1
1632833552,3,1
1632834269,1,5
1632834988,5,2
1632835932,4,3
1632836651,2,1
1632837364,0,1
1632838328,5,2
1632839046,2,3
1632840011,5,4
1632840725,5,13
1632841452,4,0
1632842416,7,2
1632843126,3,4
1632843846,4,8
1632844567,2,1
1632845709,1,2
1632846507,5,4
1632847223,1,2
1632847945,2,2
1632848669,3,4
1632849385,1,1
1632850110,4,3
1632850827,3,2
1632851546,4,3
1632852271,2,2
1632852985,1,2
1632853704,4,0
1632854424,5,5
1632855146,3,7
1632855955,4,1
1632856587,4,3
1632857306,5,2
1632858027,6,1
1632858745,10,4
1632859473,2,0
1632860188,8,3
1632860904,1,3
1632861632,1,7
1632862349,2,1
1632863075,3,8
1632863786,3,3
1632864506,1,7
1632865227,1,0
1632865944,4,3
1632866617,0,1
1632867386,3,2
1632868103,3,3
1632868826,1,0
1632869545,3,1
1632870272,2,4
1632870986,3,6
1632871706,4,7
1632872425,3,0
1632873148,7,5
1632873871,5,4
1632874591,2,6
1632875306,7,3
1632876027,4,4
1632876744,2,1
1632877419,2,6
1632878185,4,5
1632878905,6,1
1632879624,9,11
1632880348,11,8
1632881071,9,5
1632881789,6,6
1632882503,5,4
1632883223,2,3
1632883946,9,14
1632884675,2,5
1632885390,4,0
1632886103,4,1
1632886824,4,3
1632887787,5,16
1632888608,5,3
1632889225,3,4
1632889947,1,0
1632890665,2,3
1632891383,2,3
1632892106,1,0
1632892823,4,5
1632893544,4,4
1632894266,3,5
1632894996,2,2
1632895707,3,1
1632896429,1,8
1632897144,4,1
1632897864,4,5
1632898585,2,7
1632899550,2,6
1632900267,2,0
1632900989,4,3
1632901707,1,0
1632902435,4,6
1632903147,2,0
1632903869,5,1
1632904589,0,8
1632905306,4,6
1632906036,7,0
1632906748,3,3
1632907469,3,6
1632908188,1,0
1632908908,5,3
1632909637,5,0
1632910345,1,2
1632911066,0,4
1632911930,1,1
1632912727,3,2
1632913458,8,3
1632914173,2,1
1632914886,3,3
1632915854,3,4
1632916568,3,3
1632917290,2,4
1632918249,3,5
1632918969,8,6
1632919689,3,5
1632920416,1,3
1632921148,5,2
1632921870,3,5
1632922587,4,2
1632923305,3,2
1632924255,4,5
1632925208,2,1
1632925925,2,2
1632926647,7,0
1632927617,2,3
1632928324,4,6
1632929047,2,2
1632929767,5,6
1632930725,4,3
1632931457,7,4
1632932174,6,5
1632933129,2,4
1632933847,6,2
1632934567,5,4
1632935532,4,1
1632936316,6,4
1632936972,36,5
1632937685,13,2
1632938419,6,1
1632939126,1,6
1632939845,1,4
1632940568,6,1
1632941286,7,6
1632942040,4,1
1632942972,4,7
1632943684,7,5
1632944409,7,3
1632945127,4,2
1632945856,2,0
1632946568,4,9
1632947292,4,3
1632948009,1,3
1632948728,1,0
1632949457,5,4
1632950174,3,4
1632951151,4,12
1632951862,1,1
1632952568,5,3
1632953533,4,4
1632954250,5,7
1632954974,1,5
1632955685,2,1
1632956413,2,5
1632957131,5,2
1632957857,6,6
1632958570,6,3
1632959285,3,2
1632960023,5,8
1632960725,2,7
1632961444,5,3
1632962132,6,3
1632962907,1,3
1632963642,4,3
1632964592,11,6
1632965314,5,3
1632966023,8,0
1632966746,5,9
1632967473,12,19
1632968187,7,0
1632968904,8,7
1632969623,9,0
1632970344,6,11
1632971072,8,4
1632972026,9,9
1632972743,8,1
1632973467,4,8
1632974184,6,0
1632974905,6,5
1632975629,2,5
1632976345,2,0
1632977068,3,6
1632977783,2,0
1632978749,5,4
1632979467,7,3
1632980186,5,0
1632980907,0,4
1632981628,3,1
1632982344,4,2
1632983067,3,4
1632983788,1,7
1632984503,2,3
1632985240,1,5
1632986193,9,0
1632986903,5,2
1632987627,2,7
1632988344,2,2
1632989019,4,7
1632989786,1,1
1632990505,3,5
1632991227,3,3
1632991946,4,5
1632992673,2,5
1632993388,0,1
1632994107,3,3
1632994826,3,0
1632995545,1,2
1632996273,4,3
1632996986,2,4
1632997707,3,3
1632998428,4,1
1632999148,2,1
1632999874,1,3
1633000586,4,6
1633001305,6,5
1633002024,1,0
1633002829,6,7
1633003470,2,1
1633004190,3,6
1633004905,3,2
1633005625,3,7
1633006344,3,2
1633007078,1,0
1633007787,3,2
1633008505,3,1
1633009227,4,3
1633009944,1,2
1633010913,2,2
1633011626,2,5
1633012345,2,4
1633013069,2,7
1633013785,5,0
1633014749,6,9
1633015465,5,3
1633016190,1,5
1633017028,8,0
1633017650,3,2
1633018344,1,5
1633019068,6,6
1633019789,5,1
1633020509,4,6
1633021236,4,2
1633021944,4,5
1633022669,5,0
1633023388,6,4
1633024107,5,9
1633024837,6,4
1633025546,2,3
1633026265,6,4
1633026987,3,0
1633027703,2,8
1633028440,6,0
1633029168,7,9
1633029867,5,3
1633030590,3,4
1633031304,2,4
1633032042,1,4
1633032749,3,1
1633033472,15,6
1633034188,1,2
1633034908,2,4
1633035639,3,6
1633036349,4,10
1633037067,1,5
1633037789,2,6
1633038749,6,4
1633039470,2,6
1633040188,4,3
1633040903,2,11
1633041627,3,3
1633042346,5,2
1633043068,1,1
1633043785,7,5
1633044504,6,5
1633045223,2,6
1633045949,0,5
1633046610,3,0
1633047429,6,13
1633048352,6,6
1633049065,0,3
1633049786,4,4
1633050503,3,7
1633051224,5,3
1633051944,11,11
1633052665,7,4
1633053388,9,7
1633054105,3,10
