DateTime,AddedIPs,RemovedIPs
1632594964,5,8
1632596045,22,8
1632596765,11,29
1632597124,10,0
1632598565,21,41
1632599644,29,3
1632600724,16,33
1632602527,54,72
1632603246,15,1
1632603965,21,24
1632604684,23,1
1632605407,22,44
1632606125,10,6
1632607927,29,29
1632608285,9,0
1632609365,19,37
1632610445,28,3
1632611165,11,32
1632611885,13,0
1632612247,4,0
1632612966,16,33
1632613685,20,3
1632615484,51,44
1632616927,32,45
1632617644,12,0
1632618365,7,40
1632619808,33,45
1632620884,25,14
1632622685,44,37
1632623045,5,8
1632624485,26,52
1632625213,14,32
1632625925,12,0
1632626646,14,0
1632627366,13,41
1632627725,3,3
1632628443,14,0
1632630244,32,33
1632631326,27,38
1632632765,23,24
1632634567,44,59
1632635284,14,4
1632636011,17,32
1632636725,16,10
1632637446,27,0
1632638164,12,45
1632638884,14,0
1632640684,25,40
1632641045,7,0
1632642844,43,45
1632643564,21,35
1632644283,14,0
1632645365,30,47
1632646087,11,0
1632646444,7,0
1632647524,11,81
1632648244,12,0
1632648966,55,48
1632649325,3,8
1632650045,18,0
1632651844,40,36
1632652925,18,55
1632654724,28,35
1632655444,17,0
1632657245,43,57
1632659046,25,23
1632659766,13,65
1632660485,14,1
1632661625,23,52
1632662647,13,1
1632664940,43,91
1632665884,11,3
1632667327,35,55
1632668044,21,0
1632669845,36,33
1632670925,20,70
1632671644,10,0
1632672724,19,48
1632673085,5,0
1632673807,8,36
1632674525,14,0
1632675245,10,1
1632675965,11,44
1632677045,19,0
1632677765,17,47
1632679564,32,29
1632680285,12,2
1632681724,31,43
1632683524,22,36
1632683884,5,0
1632685323,26,72
1632687124,43,29
1632688926,29,37
1632690124,29,27
1632691084,21,1
1632691807,12,33
1632692525,19,5
1632693244,13,0
1632693963,8,32
1632694686,12,2
1632695828,14,49
1632697025,19,2
1632697925,13,35
1632699006,17,45
1632700445,23,14
1632701163,13,29
1632701885,21,1
1632702606,13,38
1632703746,20,10
1632704767,20,33
1632705484,16,2
1632706924,34,40
1632707644,15,0
1632708364,16,37
1632709086,21,1
1632709808,18,34
1632711246,41,2
1632712325,18,46
1632713411,17,48
1632714129,14,10
1632715325,13,20
1632715925,10,1
1632717064,26,44
1632718207,18,0
1632719165,14,45
1632719524,1,0
1632720246,16,0
1632720963,13,56
1632722164,25,6
