DateTime,AddedIPs,RemovedIPs
1632205448,1,0
1632206169,1,1
1632210129,2,0
1632211573,1,2
1632212290,2,0
1632214090,2,1
1632215170,1,0
1632216247,1,0
1632216968,0,3
1632219127,1,0
1632220213,0,1
1632222427,0,1
1632224170,1,1
1632224529,1,0
1632227048,3,0
1632228849,0,3
1632231069,1,0
1632232207,1,0
1632235688,1,0
1632237488,2,1
1632238929,1,0
1632240031,0,1
1632243968,1,1
1632246129,2,1
1632250449,0,1
1632252967,1,0
1632253328,1,0
1632254048,1,0
1632255188,0,1
1632255489,1,0
1632257648,0,1
1632260528,0,1
1632262330,3,0
1632267010,1,0
1632268147,1,0
1632269287,0,1
1632272047,1,1
1632272768,1,1
1632273489,1,0
1632275289,0,2
1632276369,0,2
1632278171,0,1
1632280690,1,2
1632281410,0,2
1632281768,0,1
1632283929,1,1
1632285011,0,2
1632285368,0,1
1632286088,1,0
1632287887,0,2
1632288614,0,2
1632290048,0,3
1632292211,4,4
1632293647,2,1
1632295448,2,1
1632296169,0,6
1632296892,1,1
1632299054,1,4
1632299768,0,5
1632301569,1,5
1632303013,0,3
1632303727,1,2
1632305887,0,1
1632306613,1,2
1632309128,2,1
1632309848,1,0
1632311648,2,6
1632312370,0,2
1632313811,0,2
1632314529,0,1
1632316328,1,1
1632317411,0,2
1632318129,0,2
1632319929,0,1
1632320288,1,0
1632321012,1,0
1632322088,1,1
1632324611,1,0
1632325330,0,1
1632327129,0,6
1632327848,1,0
1632328929,0,1
1632330729,0,2
1632331448,1,0
1632331812,0,1
1632337567,0,1
1632339729,1,2
1632341528,2,2
1632342968,1,6
1632344768,2,2
1632346215,0,2
1632348369,1,2
1632353528,0,2
1632355929,1,0
1632357731,3,4
1632359529,0,1
1632361027,2,1
1632362769,1,2
1632363489,1,0
1632364569,0,1
1632367088,1,0
1632367815,0,1
1632370688,0,3
1632371412,1,3
1632372129,0,1
1632373988,2,1
1632375012,0,1
1632377888,1,0
1632378970,0,2
1632379330,0,1
1632381129,3,0
1632382209,1,1
1632386529,0,4
1632388688,1,0
1632389410,0,2
1632390850,1,0
1632391569,2,0
1632393011,0,1
1632395167,1,0
1632395888,1,0
1632397687,1,0
1632400210,2,1
1632400928,1,0
1632402128,3,1
1632403453,1,0
1632404169,1,0
1632405970,1,1
1632412089,0,1
1632414968,0,1
1632416168,3,0
1632416768,2,1
1632418929,3,0
1632419649,2,0
1632421453,1,3
1632422166,1,2
1632426848,2,3
1632427569,0,2
1632429014,2,2
1632430448,1,0
1632431529,1,1
1632432669,0,3
1632436929,0,2
1632438728,1,3
1632440528,1,0
1632442327,0,1
1632443050,1,0
1632452047,0,1
1632454568,1,1
1632455651,1,0
1632457087,1,0
1632457811,1,0
1632460689,1,2
1632461413,0,1
1632462847,1,0
1632463568,0,3
1632465368,1,1
1632467170,2,0
1632468968,1,0
1632469687,1,0
1632471489,2,1
1632472212,1,0
1632472928,1,1
1632476170,0,2
1632479769,0,3
1632480488,0,1
1632482289,2,1
1632483728,0,1
1632486611,0,3
1632486969,0,1
1632488049,1,0
1632490215,1,0
1632491288,2,0
1632491648,1,0
1632493448,0,3
1632494527,1,1
1632496328,1,2
1632498848,2,2
1632501010,0,3
1632503710,1,0
1632504610,0,2
1632507490,1,0
1632509647,0,2
1632510368,0,1
1632511090,2,0
1632511809,1,1
1632513969,1,1
1632515413,0,2
1632517567,0,1
1632519011,0,1
1632520449,1,0
1632521890,1,0
1632522619,0,2
1632524048,1,0
1632524768,0,2
1632528368,0,2
1632530169,0,2
1632531968,0,1
1632534488,1,0
1632548528,8,6
1632550329,1,1
1632552131,1,7
1632553569,3,0
1632555727,0,1
1632557169,1,0
1632557889,1,0
1632558252,1,0
1632558968,0,1
1632560048,1,0
1632560419,0,2
1632562211,1,1
1632562929,1,0
1632565810,1,0
1632568688,1,2
1632570128,3,2
1632571928,1,1
1632573011,0,3
1632576253,1,1
1632576969,0,1
1632580569,0,1
1632582368,1,2
1632583089,1,0
1632583816,3,1
1632584887,1,0
1632585249,1,0
1632586689,0,1
1632587411,0,1
1632588848,1,0
1632591012,0,2
1632594967,1,0
1632596769,0,1
1632598568,1,0
1632600728,0,1
1632602531,1,0
1632606129,0,1
1632607931,0,1
1632609370,0,1
1632611169,1,1
1632616931,0,1
1632617648,1,0
1632619814,0,1
1632620887,1,0
1632622689,0,2
1632623048,2,0
1632625928,0,2
1632631329,0,1
1632634572,0,2
1632636016,1,1
