DateTime,Entries,UniqueIPs
1632024725,1518,1564
1632026663,1519,1560
1632028565,1525,1565
1632030728,1525,1564
1632032649,1518,1553
1632034592,1522,1557
1632036485,1531,1564
1632038431,1521,1555
1632040331,1511,1545
1632042270,1505,1541
1632044170,1503,1535
1632046332,1499,1533
1632048263,1446,1480
1632050168,1462,1496
1632052329,1411,1443
1632056179,1373,1405
1632058086,1391,1423
1632060257,1384,1416
1632062179,1372,1403
1632064104,1318,1350
1632066009,1345,1378
1632068171,1367,1400
1632070100,1373,1407
1632072007,1383,1419
1632073926,1389,1426
1632075860,1387,1425
1632077767,1397,1436
1632079931,1406,1444
1632081868,1405,1445
1632083766,1416,1455
1632085930,1404,1442
1632087859,1407,1445
1632089781,1408,1446
1632091686,1406,1445
1632093616,1402,1439
1632095544,1403,1439
1632097446,1408,1444
1632099364,1401,1438
1632101300,1381,1419
1632103219,1385,1420
1632105125,1386,1422
1632107068,1376,1414
1632108968,1367,1405
1632111129,1335,1375
1632113048,1348,1388
1632116885,1311,1354
1632118806,1318,1363
1632120743,1321,1369
1632124567,1297,1341
1632126504,1281,1328
1632128413,1276,1321
1632130326,1285,1328
1632132270,1272,1321
1632134171,1267,1313
1632136343,1284,1330
1632138250,1306,1351
1632140186,1316,1365
1632151702,1214,1257
1632153618,1215,1260
1632157454,1175,1220
1632159382,1191,1236
1632161545,1200,1243
1632163449,1210,1253
1632165386,1223,1265
1632167286,1233,1275
1632169221,1244,1283
1632173061,1225,1262
1632174964,1219,1255
1632176886,1238,1276
1632178833,1256,1288
1632180725,1258,1291
1632182654,1249,1282
1632184584,1243,1276
1632186748,1244,1277
1632188647,1238,1270
1632190822,1218,1250
1632192730,1213,1246
1632194647,1203,1235
1632196580,1192,1225
1632198488,1169,1203
1632200420,1165,1203
1632202326,1206,1244
1632204270,1222,1257
1632206167,1219,1257
1632208328,1222,1260
1632210246,1253,1293
1632214085,1233,1271
1632216006,1237,1276
1632217945,1247,1284
1632219848,1249,1287
1632221779,1248,1284
1632223686,1241,1279
1632225619,1234,1272
1632227541,1234,1267
1632229452,1251,1285
1632231607,1282,1316
1632233768,1311,1345
1632235930,1335,1372
1632237851,1360,1397
1632239778,1351,1389
1632241688,1360,1396
1632243857,1370,1405
1632245783,1365,1403
1632247697,1388,1427
1632249623,1382,1421
1632251530,1381,1422
1632255374,1366,1409
1632257301,1362,1405
1632259210,1380,1425
1632261126,1387,1435
1632263062,1383,1433
1632264965,1385,1434
1632267131,1363,1409
1632269073,1366,1413
1632270969,1386,1435
1632274805,1376,1423
1632276727,1387,1435
1632278660,1386,1433
1632280568,1391,1441
1632282730,1391,1441
1632284665,1381,1433
1632286568,1390,1443
1632288726,1379,1430
1632290655,1376,1427
1632292590,1344,1395
1632294743,1348,1395
1632296646,1381,1428
1632298593,1352,1401
1632300484,1389,1438
1632302405,1375,1424
1632304340,1390,1439
1632306250,1349,1396
1632308180,1354,1402
1632310085,1388,1439
1632312017,1389,1440
1632313944,1367,1416
1632315852,1386,1435
1632317769,1397,1444
1632319701,1394,1442
1632321605,1395,1445
1632323523,1397,1447
1632325461,1394,1442
1632327369,1402,1453
1632329528,1400,1450
1632331447,1400,1452
1632333381,1398,1446
1632335286,1404,1451
1632337216,1403,1450
1632341052,1406,1450
1632342984,1393,1436
1632344884,1393,1436
1632347046,1392,1435
1632348967,1397,1438
1632350902,1403,1444
1632352847,1391,1432
1632354742,1400,1440
1632356648,1385,1430
1632358566,1380,1425
1632360502,1402,1449
1632362418,1406,1451
1632364323,1406,1449
1632366270,1390,1434
1632368166,1399,1443
1632370338,1404,1447
1632372262,1397,1442
1632374172,1395,1438
1632376327,1397,1440
1632378246,1403,1446
1632380180,1411,1455
1632382331,1410,1453
1632384253,1425,1467
1632388085,1404,1445
1632392407,1374,1416
1632394325,1399,1440
1632396265,1413,1453
1632398166,1415,1455
1632400331,1428,1468
1632402496,1411,1452
1632404422,1423,1461
1632406329,1426,1465
1632408244,1415,1454
1632410181,1425,1463
1632412085,1417,1457
1632414007,1410,1450
1632415945,1418,1453
1632417846,1446,1485
1632419767,1452,1491
1632421702,1427,1467
1632423610,1450,1494
1632425524,1441,1486
1632427471,1433,1479
1632429368,1450,1496
1632431528,1425,1478
1632433446,1447,1500
1632435383,1425,1477
1632437304,1425,1481
1632439206,1447,1505
1632441128,1440,1497
1632443048,1451,1506
1632444999,1434,1484
1632446909,1424,1473
1632450735,1407,1449
1632452674,1398,1440
1632454568,1399,1441
1632456730,1420,1469
1632458646,1405,1453
1632460583,1387,1431
1632462484,1406,1451
1632464431,1410,1448
1632466329,1395,1434
1632468251,1378,1419
1632470165,1369,1408
1632472102,1359,1398
1632474022,1383,1425
1632475925,1383,1424
1632477875,1408,1453
1632479769,1404,1450
1632481928,1391,1435
1632483848,1371,1415
1632485798,1359,1406
1632487932,1342,1389
1632489865,1332,1377
1632491765,1323,1369
1632493686,1327,1372
1632495633,1331,1375
1632497531,1332,1376
1632499474,1341,1384
1632503526,1319,1358
1632505465,1314,1354
1632507368,1311,1352
1632509322,1311,1357
1632511210,1316,1363
1632513126,1329,1376
1632515067,1327,1374
1632516966,1341,1388
1632519129,1353,1399
1632522971,1324,1367
1632525130,1337,1380
1632527064,1336,1374
1632528970,1338,1376
1632531129,1352,1391
1632533050,1354,1392
1632534984,1341,1379
1632547445,1237,1270
1632549621,1236,1270
1632551545,1237,1271
1632553458,1232,1267
1632555387,1240,1275
1632557288,1239,1274
1632559208,1233,1268
1632561148,1238,1272
1632563046,1233,1267
1632565208,1228,1261
1632567123,1215,1247
1632569065,1208,1240
1632570968,1219,1251
1632572904,1221,1250
1632574819,1226,1257
1632576724,1225,1256
1632578674,1225,1258
1632580572,1222,1257
1632582505,1215,1248
1632584406,1204,1238
1632586325,1194,1229
1632588266,1213,1248
1632590172,1201,1235
1632592330,1213,1247
1632594251,1209,1243
1632596184,1214,1242
1632598085,1213,1242
1632600013,1222,1255
1632601943,1228,1261
1632603857,1216,1249
1632605788,1226,1258
1632607698,1248,1280
1632609623,1245,1277
1632611532,1234,1264
1632613464,1254,1287
1632615368,1251,1282
1632617529,1250,1281
1632619451,1225,1254
1632621384,1255,1286
1632623286,1250,1284
1632625214,1288,1322
1632627144,1316,1352
1632629052,1336,1374
1632630967,1367,1408
1632632905,1382,1429
1632634808,1384,1429
1632636726,1394,1438
1632638663,1387,1432
1632640567,1388,1433
1632642725,1386,1432
1632644648,1390,1436
1632646586,1392,1438
1632648488,1399,1444
1632650659,1407,1453
1632652584,1411,1458
1632654498,1420,1466
1632656424,1431,1475
1632658356,1432,1475
1632660266,1437,1481
1632662169,1435,1478
1632664326,1454,1494
1632666264,1440,1479
1632668109,1445,1484
1632670153,1450,1490
1632672196,1458,1497
1632674437,1460,1499
1632676330,1464,1503
1632678244,1462,1507
1632680189,1461,1501
1632682324,1465,1505
1632684262,1469,1511
1632686164,1466,1508
1632688085,1466,1506
1632691944,1440,1482
1632697745,1383,1418
1632699847,1376,1411
1632702005,1345,1382
1632703924,1365,1407
1632705866,1347,1387
1632707764,1365,1405
1632709990,1337,1377
1632711872,1317,1358
1632713769,1312,1355
1632715931,1300,1345
1632717867,1297,1344
1632719767,1295,1338
1632721926,1309,1352
1632726266,1287,1326
1632728189,1311,1351
1632730099,1323,1364
1632732028,1332,1374
1632733930,1335,1378
1632735845,1345,1388
1632739946,1336,1380
1632741845,1341,1386
1632743795,1331,1377
1632745684,1345,1388
1632747853,1348,1390
1632749784,1342,1383
1632751704,1333,1375
1632753610,1344,1385
1632757445,1296,1330
1632759606,1304,1342
1632761546,1304,1343
1632763448,1312,1350
1632765621,1314,1354
1632767545,1304,1346
1632769451,1308,1348
1632771387,1306,1346
1632773216,1286,1328
1632775465,1272,1317
1632777367,1284,1331
1632779543,1278,1324
1632781447,1289,1337
1632783381,1309,1358
1632785286,1313,1363
1632787230,1311,1357
1632789261,1314,1360
1632791550,1326,1371
1632793449,1325,1370
1632795366,1330,1374
