DateTime,AddedIPs,RemovedIPs
1632024725,10,9
1632026663,10,4
1632028565,17,19
1632030728,22,17
1632032649,15,20
1632034592,13,15
1632036485,13,26
1632038431,20,18
1632040331,20,29
1632042270,14,23
1632044170,21,29
1632046332,19,29
1632048263,10,31
1632050168,11,23
1632052329,15,24
1632056179,10,62
1632058086,10,23
1632060257,12,19
1632062179,11,15
1632064104,17,24
1632066009,21,34
1632068171,11,27
1632070100,18,23
1632072007,8,19
1632073926,14,27
1632075860,8,0
1632077767,10,0
1632079931,7,36
1632081868,7,20
1632083766,7,15
1632085930,10,22
1632087859,14,23
1632089781,7,0
1632091686,6,11
1632093616,6,15
1632095544,13,14
1632097446,15,20
1632099364,4,16
1632101300,8,10
1632103219,13,18
1632105125,16,18
1632107068,3,21
1632108968,9,7
1632111129,12,28
1632113048,7,19
1632116885,10,61
1632118806,23,27
1632120743,19,26
1632124567,12,56
1632126504,15,24
1632128413,13,33
1632130326,23,32
1632132270,13,28
1632134171,13,27
1632136343,22,26
1632138250,17,25
1632140186,17,17
1632151702,21,119
1632153618,18,25
1632157454,14,46
1632159382,16,24
1632161545,18,18
1632163449,13,19
1632165386,19,0
1632167286,10,16
1632169221,14,26
1632173061,17,0
1632174964,15,0
1632176886,17,0
1632178833,15,0
1632180725,11,0
1632182654,10,16
1632184584,10,11
1632186748,12,7
1632188647,12,14
1632190822,9,0
1632192730,10,13
1632194647,16,16
1632196580,14,8
1632198488,6,18
1632200420,12,17
1632202326,26,14
1632204270,17,16
1632206167,22,14
1632208328,21,15
1632210246,17,30
1632214085,18,60
1632216006,19,21
1632217945,23,17
1632219848,17,26
1632221779,12,23
1632223686,15,15
1632225619,11,10
1632227541,18,16
1632229452,7,0
1632231607,18,25
1632233768,17,18
1632235930,18,20
1632237851,17,15
1632239778,19,17
1632241688,21,18
1632243857,16,22
1632245783,14,21
1632247697,13,21
1632249623,16,19
1632251530,22,16
1632255374,24,19
1632257301,18,14
1632259210,9,11
1632261126,18,16
1632263062,14,14
1632264965,14,13
1632267131,10,19
1632269073,8,17
1632270969,13,0
1632274805,11,29
1632276727,16,9
1632278660,13,9
1632280568,5,12
1632282730,14,9
1632284665,13,10
1632286568,11,19
1632288726,12,22
1632290655,17,21
1632292590,17,21
1632294743,27,0
1632296646,21,0
1632298593,9,25
1632300484,22,27
1632302405,19,26
1632304340,26,20
1632306250,11,22
1632308180,19,21
1632310085,13,17
1632312017,14,0
1632313944,18,14
1632315852,11,21
1632317769,17,20
1632319701,16,0
1632321605,14,18
1632323523,17,11
1632325461,15,18
1632327369,20,16
1632329528,13,0
1632331447,18,13
1632333381,20,19
1632335286,15,14
1632337216,18,11
1632341052,21,31
1632342984,12,19
1632344884,13,15
1632347046,11,13
1632348967,21,11
1632350902,15,18
1632352847,13,15
1632354742,12,13
1632356648,6,12
1632358566,9,6
1632360502,10,13
1632362418,13,10
1632364323,10,11
1632366270,9,10
1632368166,18,0
1632370338,20,5
1632372262,12,14
1632374172,12,16
1632376327,14,17
1632378246,20,14
1632380180,22,18
1632382331,28,12
1632384253,29,21
1632388085,20,42
1632392407,15,37
1632394325,24,19
1632396265,20,0
1632398166,19,18
1632400331,20,0
1632402496,22,14
1632404422,17,42
1632406329,19,16
1632408244,12,0
1632410181,21,38
1632412085,16,0
1632414007,17,22
1632415945,15,26
1632417846,15,18
1632419767,15,20
1632421702,12,22
1632423610,10,9
1632425524,10,19
1632427471,21,17
1632429368,10,15
1632431528,7,11
1632433446,14,18
1632435383,15,15
1632437304,11,19
1632439206,7,13
1632441128,12,8
1632443048,10,19
1632444999,14,0
1632446909,10,15
1632450735,11,18
1632452674,3,13
1632454568,12,8
1632456730,11,14
1632458646,9,15
1632460583,17,18
1632462484,13,15
1632464431,16,22
1632466329,13,19
1632468251,13,18
1632470165,8,23
1632472102,17,16
1632474022,13,18
1632475925,17,0
1632477875,15,16
1632479769,20,21
1632481928,14,14
1632483848,14,17
1632485798,14,17
1632487932,13,14
1632489865,11,25
1632491765,16,18
1632493686,17,17
1632495633,16,24
1632497531,22,17
1632499474,18,17
1632503526,19,30
1632505465,12,16
1632507368,17,15
1632509322,13,16
1632511210,21,14
1632513126,16,3
1632515067,23,14
1632516966,19,6
1632519129,16,19
1632522971,11,26
1632525130,22,12
1632527064,15,0
1632528970,17,10
1632531129,23,9
1632533050,13,6
1632534984,10,6
1632547445,19,61
1632549621,15,43
1632551545,16,13
1632553458,13,12
1632555387,20,21
1632557288,11,25
1632559208,14,17
1632561148,21,17
1632563046,14,20
1632565208,14,21
1632567123,9,29
1632569065,12,16
1632570968,14,24
1632572904,15,16
1632574819,12,17
1632576724,14,17
1632578674,13,16
1632580572,18,0
1632582505,15,58
1632584406,14,0
1632586325,10,0
1632588266,14,13
1632590172,11,0
1632592330,24,12
1632594251,17,9
1632596184,17,6
1632598085,18,7
1632600013,18,4
1632601943,18,8
1632603857,10,20
1632605788,12,14
1632607698,6,10
1632609623,20,11
1632611532,15,12
1632613464,9,10
1632615368,15,15
1632617529,18,9
1632619451,12,26
1632621384,21,20
1632623286,15,7
1632625214,27,9
1632627144,20,19
1632629052,12,13
1632630967,18,12
1632632905,8,11
1632634808,14,25
1632636726,15,20
1632638663,10,15
1632640567,12,15
1632642725,20,16
1632644648,19,21
1632646586,17,21
1632648488,19,19
1632650659,16,21
1632652584,13,18
1632654498,17,9
1632656424,22,12
1632658356,14,13
1632660266,26,0
1632662169,16,10
1632664326,17,15
1632666264,11,20
1632668109,25,10
1632670153,21,19
1632672196,24,20
1632674437,18,18
1632676330,15,24
1632678244,18,7
1632680189,18,15
1632682324,17,11
1632684262,18,10
1632686164,15,4
1632688085,12,14
1632691944,14,22
1632697745,10,25
1632699847,13,9
1632702005,3,15
1632703924,10,20
1632705866,9,9
1632707764,7,13
1632709990,13,39
1632711872,12,21
1632713769,6,17
1632715931,6,15
1632717867,5,12
1632719767,17,0
1632721926,24,10
1632726266,14,43
1632728189,30,0
1632730099,21,17
1632732028,25,17
1632733930,26,16
1632735845,23,15
1632739946,28,31
1632741845,25,22
1632743795,15,23
1632745684,19,17
1632747853,12,0
1632749784,16,0
1632751704,18,0
1632753610,19,0
1632757445,17,26
1632759606,21,21
1632761546,21,0
1632763448,15,14
1632765621,22,18
1632767545,10,19
1632769451,27,14
1632771387,20,12
1632773216,8,14
1632775465,10,14
1632777367,6,0
1632779543,11,14
1632781447,6,8
1632783381,10,7
1632785286,10,18
1632787230,6,5
1632789261,8,11
1632791550,17,11
1632793449,11,8
1632795366,8,0
1632797302,13,11
1632801126,13,14
1632803046,9,16
1632804964,15,9
1632810985,20,79
1632813145,17,24
1632815045,26,0
1632816851,12,20
1632818901,13,21
1632820807,24,20
1632822966,26,18
1632825127,19,19
1632827056,10,17
1632828987,16,15
1632830896,15,12
1632832823,14,15
1632834728,9,12
1632836649,17,18
1632838593,12,19
1632842414,11,16
1632844352,14,19
1632846246,16,17
1632848164,11,22
1632850107,10,17
1632852013,16,17
1632853928,15,12
1632855953,20,16
1632857771,27,15
1632859939,16,0
1632861845,11,19
1632863784,15,10
1632865686,14,12
1632867604,19,14
1632869543,14,9
1632875524,10,37
1632877416,13,11
1632879367,12,0
1632881529,14,23
1632883444,13,0
1632885388,16,30
1632887289,16,0
1632891128,14,27
1632893047,21,14
1632894993,23,14
1632896887,23,19
1632898812,19,18
1632900724,17,27
1632902657,16,19
1632904587,24,9
1632906493,20,18
1632908404,23,16
1632910342,19,23
1632912245,14,7
1632914170,25,17
1632916343,21,18
1632918247,18,14
1632920182,13,19
1632922324,12,19
1632924252,13,15
1632926187,18,15
1632928083,9,22
1632930268,23,35
1632932171,26,18
1632934346,12,20
1632936314,15,16
1632938181,14,17
1632940086,20,0
1632942037,16,38
1632943926,13,0
1632945854,11,22
1632947786,18,14
1632949947,19,14
1632951858,14,15
1632954028,11,18
1632955928,17,15
1632957855,14,17
1632959784,9,9
1632961687,11,9
1632963639,7,15
1632965525,9,14
1632967470,7,15
1632969368,13,10
1632971534,13,10
1632973465,11,14
1632975626,18,23
1632977526,7,10
1632979464,29,11
1632981365,17,11
1632983287,13,22
1632985237,21,30
1632987127,28,0
1632989016,26,23
1632990974,24,21
1632993126,20,19
1632996983,23,0
1633000804,18,42
1633004646,19,48
1633006565,17,22
1633008503,19,21
1633010417,12,22
1633012343,9,17
1633014249,11,9
1633016188,17,17
1633018084,14,11
1633020244,27,16
1633022168,15,15
1633024105,22,13
1633026004,24,14
1633027923,27,9
1633032039,18,22
1633033925,18,25
1633036085,15,12
1633038245,17,9
1633040186,16,30
1633042086,9,0
1633044009,16,20
1633045946,14,14
1633047850,15,8
1633049784,11,0
1633051689,11,9
1633053848,13,14
1633056006,11,8
1633057926,15,12
1633059864,8,14
1633062024,6,9
1633064167,8,12
1633066095,13,21
1633068248,27,13
1633070168,24,17
1633072084,22,18
