DateTime,AddedIPs,RemovedIPs
1632672722,22,60
1632673083,7,0
1632674438,33,65
1632674524,19,0
1632675243,8,0
1632676330,32,79
1632677043,16,0
1632677763,14,61
1632678245,12,15
1632679562,34,36
1632680189,7,19
1632680643,22,0
1632681722,33,70
1632682325,19,15
1632683883,38,61
1632684263,17,12
1632685322,26,103
1632686164,19,18
1632687122,42,44
1632688086,13,17
1632688924,38,80
1632689936,10,17
1632690123,33,48
1632691083,26,0
1632691945,27,15
1632692522,40,77
1632693857,25,13
1632694683,16,52
1632695787,12,18
1632695823,16,71
1632697023,31,0
1632697745,299,0
1632697923,12,55
1632699004,25,57
1632699848,10,20
1632700443,26,16
1632701162,19,41
1632702006,15,18
1632702605,41,53
1632703925,16,8
1632705483,65,56
1632705866,18,4
1632706923,36,63
1632707764,20,13
1632708362,293,306
1632709991,59,59
1632711873,66,10
1632712324,278,68
1632713769,43,86
1632714124,17,15
1632715323,16,30
1632715932,16,24
1632715973,15,0
1632717868,55,69
1632718204,22,0
1632719162,21,62
1632719768,23,11
1632720245,26,0
1632720962,17,70
1632721926,23,16
1632722162,35,8
1632724089,69,45
1632724205,11,51
1632724923,19,10
1632726267,56,51
1632727084,29,1
1632728189,63,60
1632728527,23,8
1632730099,14,17
1632730683,94,58
1632732029,65,65
1632732843,64,12
1632733931,17,15
1632734282,92,38
1632735846,64,74
1632737163,79,38
1632738005,26,680
1632738605,0,13850
1632739946,13870,18
1632740763,48,81
1632741846,333,0
1632742568,79,78
1632743282,36,8
1632743796,31,19
1632744362,44,39
1632745083,151,0
1632745685,20,15
1632747243,138,84
1632747854,20,13
1632748322,59,63
1632749405,91,49
1632749785,32,16
1632750123,127,24
1632751209,316,48
1632751705,32,13
1632753611,316,94
1632753723,85,16
1632755543,23,10
1632756243,197,33
1632756604,28,67
1632757446,20,8
1632758042,84,22
1632759606,26,11
1632761546,237,123
1632762007,0,14490
1632762363,14534,0
1632763449,70,20
1632764208,71,76
1632765622,90,26
1632766323,73,25
1632767546,91,58
1632768123,64,7
1632769452,19,21
1632770283,193,40
1632771387,30,15
1632771723,1201,57
1632773217,53,6
1632773522,867,35
1632774244,49,1
1632775466,58,77
1632775683,43,0
1632776042,18,0
1632777369,17,12
1632777842,77,43
1632778924,49,58
1632779544,13,20
1632779643,43,2
1632780363,26,31
1632781448,48,13
1632781805,32,39
1632782522,29,6
1632783382,16,18
1632784323,92,44
1632785287,309,0
1632785763,32,79
1632786484,26,4
1632787231,19,19
1632787923,61,25
1632788643,33,0
1632789262,9,9
1632789364,18,58
1632791550,92,560
1632793449,109,84
1632793685,15,0
1632794823,52,54
1632795367,11,12
1632795843,7,21253
1632797043,21287,2
1632797303,15,11
1632797644,21,0
1632799208,9,5
1632799443,71,36
1632800164,25,59
1632801127,36,21
1632802683,63,27
1632803047,12,13
1632803406,22,44
1632803764,12,10
1632804964,13,16
1632805563,56,33
1632806282,24,0
1632807125,21,13
1632807723,34,71
1632808083,8,0
1632809054,16,14
1632809883,49,21
1632810986,9,13
1632811683,61,36
1632813145,15,19
1632813482,40,32
1632815047,57,72
1632815284,24,7
1632816852,58,32
1632817443,28,1
1632818523,30,98
1632818901,11,10
1632820808,101,47
1632822124,49,56
1632822966,21,23
1632823923,92,21
1632825128,51,847
1632826084,34,11
1632827057,428,0
1632827883,44,37
1632828988,25,14
1632829323,46,43
1632830897,15,13
1632831123,56,24
1632831483,6,1
1632832562,28,46
1632832823,26,12
1632832922,9,0
1632833643,15,1
1632834729,10,9
1632835084,34,31
1632835807,36,25
1632836649,19,10
1632836883,34,15
1632837611,24,25
1632838594,30,24
1632839043,15,0
1632839763,24,46
1632840484,12,9
1632841923,1338,45
1632842415,23,14
1632843005,26,34
1632844353,28,29
1632844443,37,6
1632845523,37,24
1632846247,10,10
1632847324,157,42
1632848165,32,34
1632848762,47,30
1632849844,36,1
1632850108,15,21
1632850563,28,40
1632851284,22,1
1632852014,22,17
1632852723,36,23
1632853929,30,18
1632854163,29,39
1632854884,20,0
1632855954,19,791
1632856683,50,43
1632857771,22,26
1632858165,26,47
1632859940,56,23
1632860104,23,26
1632860644,23,0
1632861363,16,57
1632861846,17,19
1632862443,30,1
1632863524,35,277
1632863784,27,26
1632864243,18,1
1632864606,13,35
1632865687,30,39
1632867123,43,19
1632867605,16,24
1632867844,22,0
1632869544,23,24
1632869642,45,46
1632871449,399,35
1632872523,58,51
1632873621,15,18
1632874323,48,19
1632875043,30,1
1632875525,10,10
1632876124,41,57
1632877417,22,10
1632878283,38,33
1632879368,21,8
1632879423,27,73
1632881529,47,27
1632881704,39,55
1632883445,9,6
1632885389,87,84
1632885484,20,0
1632886205,11,34
1632887290,22,19
1632887762,37,10520
1632888723,10553,25
1632889223,11,11
1632889443,19,0
1632890163,18,49
1632891128,27,20
1632891243,15,0
1632891963,20,38
1632893048,15,17
1632893763,45,60
1632894122,7,3
1632894994,21,13
1632895562,38,32
1632896888,30,16
1632898083,48,75
1632898813,10,21
1632899164,16,80
1632899883,23,0
1632900725,12,38
1632901323,47,108
1632902409,26,56
1632902658,15,10
1632903483,30,0
1632904587,12,20
1632904924,41,137
1632905642,9,0
1632906493,20,19
1632907084,94,76
1632907804,22,62
1632908405,19,20
1632908524,24,28
1632910343,19,834
1632910683,61,53
1632912245,21,14
1632912484,38,96
1632913208,20,67
1632914171,349,1
1632915364,39,265
1632916343,21,17
1632917163,66,83
1632918248,36,14
1632919683,55,138
1632920183,22,13
1632920763,28,126
1632921483,24,0
1632922325,18,14
1632923643,74,153
1632924253,24,6
1632924722,791,69
1632925084,15,0
1632926187,24,8
1632926883,51,99
1632928084,18,16
1632928323,40,58
1632930269,68,1178
1632930843,24,0
1632932172,17,17
1632933004,59,144
1632934347,53,39
1632935163,33,51
1632936315,21,21
1632937324,51,104
1632938182,15,11
1632940087,90,72
1632940983,28,580
1632942038,22,15
1632942783,31,642
1632943927,33,19
1632944162,19,112
1632944524,5,12
1632945855,18,13
1632946324,33,39
1632947043,11,0
1632947786,22,13
1632948124,37,102
1632949948,19,21
1632950644,315,75
1632951859,16,16
1632952442,43,116
1632953163,18,61
1632954029,12,17
1632955323,55,102
1632955929,5,15
1632956044,16,0
1632956763,20,59
1632957856,338,0
1632958923,33,79
1632959786,9,17
1632961082,71,54
1632961688,12,11
1632962525,39,97
1632963640,6,15
1632964323,46,44
1632965526,10,9
1632966123,47,81
1632966842,18,0
1632967471,12,5
1632967923,20,39
1632969369,11,7
1632971535,86,157
1632972243,29,0
1632972963,15,64
1632973465,18,7
1632973684,12,3
1632975627,56,60
1632975842,27,0
1632976563,21,68
1632977527,25,12
1632977644,9,0
1632979465,14,17
1632979805,78,90
1632980164,5,10
1632981366,15,15
1632981964,60,49
1632982323,17,0
1632983288,39,16
1632984124,44,138
1632985238,54,16
1632985983,32,41
1632987127,58,18
1632987363,21,65
1632989017,19,11
1632989883,69,41
1632990975,16,11
1632991325,46,72
1632991682,17,1
1632993126,26,22
1632995046,96,178
1632996364,76,44
1632996984,20,825
1632998163,52,63
1632998883,24,16
1632998884,24,0
1632999243,13,0
1633000323,25,58
1633000805,418,0
1633001762,43,60
1633002827,24,17
1633002845,34,8
1633003983,43,41
1633004647,21,8
1633005005,28,73
1633005724,31,11
1633006566,22,14
1633006925,31,303
1633007883,20,0
1633008503,9,21
1633008606,19,43
1633009323,14,18
1633010417,30,13
1633010763,24,36
1633011483,17,253
1633012344,16,20
1633012922,42,58
1633014250,43,72
1633014723,22,3
1633015443,13,0
1633016188,22,16
1633016583,37,75
1633018085,21,17
1633018683,70,143
1633020245,36,21
1633022168,115,182
1633023004,24,48
1633024106,571,36
1633024443,14,0
1633026005,28,20
1633026244,43,30
1633027323,31,46
1633027924,34,19
1633028043,18,256
1633029122,41,63
1633029865,31,10
1633030924,45,62
1633032040,39,24
1633032364,14,45
1633033443,28,0
1633033926,18,13
1633034524,26,63
1633035244,21,1
1633036086,12,280
1633037405,63,101
1633038246,19,18
1633038483,24,18
1633038843,10,0
1633039563,16,41
1633040187,16,21
1633041005,40,51
1633042087,47,28
1633042442,10,0
1633044010,385,44
1633044605,17,73
1633045947,9,15
1633046043,34,25
1633047851,34,52
1633048205,24,47
1633048924,268,16
1633049784,11,14
1633050722,50,37
1633051690,19,18
1633052163,18,77
1633052882,27,6
1633053849,24,12
1633054383,22,37
1633055404,18,52
1633056007,9,23
1633056123,15,7
1633057041,22,0
1633057927,28,69
1633059005,25,65
1633059865,8,12
1633060444,37,11
1633062025,20,16
1633062244,41,40
1633062962,14,70
1633064168,59,27
1633064762,15,35
1633066096,31,16
1633066562,25,62
1633068249,27,25
1633068362,56,36
1633069804,38,75
1633070169,15,19
1633070883,38,27
1633072084,13,13
1633072323,44,51
1633073404,28,50
1633074004,8,11
1633074482,26,18
1633075944,18,15
1633077009,56,141
1633077846,15,10
1633078442,35,14
1633079785,10,24
1633079883,27,51
1633080604,14,43
1633081688,17,27
1633082043,20,3
1633083124,26,31
1633083606,10,711
