DateTime,AddedIPs,RemovedIPs
1632700325,3,0
1632700926,2,5
1632701526,5,0
1632702726,5,8
1632703325,1,0
1632703924,1,4
1632704525,4,2
1632705125,5,3
1632705725,4,2
1632706326,3,13
1632706925,4,0
1632708725,4,14
1632709325,3,0
1632709925,4,7
1632710525,2,1
1632711725,1,34
1632712925,3,8
1632714125,2,25
1632714725,10,9
1632715325,0,10
1632715925,2,0
1632716525,2,3
1632717126,1,0
1632717725,11,0
1632718925,1,19
1632719525,4,9
1632720125,1,0
1632721325,3,0
1632721925,2,7
1632723125,1,15
1632723725,1,4
1632724925,3,4
1632726126,2,0
1632726725,4,4
1632727326,1,0
1632727926,5,21
1632729125,6,4
1632729725,3,0
1632730325,1,16
1632730925,0,2
1632731526,1,0
1632732125,2,9
1632733325,7,11
1632733925,3,12
1632734525,1,0
1632735125,3,9
1632736325,4,24
1632736925,1,8
1632737525,5,0
1632738124,3,13
1632739324,4,2
1632739924,8,0
1632740525,4,23
1632741725,8,22
1632742325,13,0
1632743525,1,17
1632744125,4,0
1632744724,10,0
1632745325,8,27
1632745925,5,49
1632746525,2,0
1632747125,4,23
1632747725,7,18
1632748325,2,12
1632748925,3,5
1632749525,4,9
1632750124,2,21
1632751325,8,19
1632752524,8,33
1632753124,1,0
1632754324,4,12
1632754924,5,0
1632755524,8,3
1632756125,4,0
1632756725,8,9
1632757325,3,0
1632757925,2,15
1632758525,2,6
1632759125,2,0
1632759725,1,25
1632760325,1,0
1632760925,5,0
1632762126,3,5
1632762725,0,4
1632763325,6,0
1632763926,9,2
1632764526,2,1
1632765126,1,24
1632765726,3,0
1632766326,1,28
1632766925,5,0
1632768126,1,4
1632769325,9,29
1632769925,10,1
1632770525,2,0
1632771725,5,3
1632772925,8,1
1632773525,2,0
1632774726,4,0
1632775325,11,0
1632776525,6,12
1632777125,12,4
1632778924,6,17
1632779525,3,6
1632780125,1,2
1632781325,4,67
1632783726,5,3
1632784325,7,1
1632785526,7,2
1632786725,7,0
1632787326,4,3
1632788525,5,1
1632789126,1,2
1632789725,4,21
1632790325,4,0
1632790925,7,39
1632791524,1,0
1632792125,3,3
1632792725,9,4
1632793325,9,4
1632794525,2,7
1632795125,8,0
1632795725,4,18
1632796925,3,27
1632798725,1,34
1632799324,5,19
1632799925,2,3
1632801125,4,0
1632802325,3,11
1632802925,2,7
1632804125,7,2
1632805324,2,8
1632806525,3,5
1632807125,8,0
1632807725,5,23
1632808325,10,0
1632808925,6,11
1632809525,8,18
1632810125,8,0
1632811324,6,23
1632811924,8,16
1632812525,2,0
1632813724,5,13
1632814325,3,0
1632814925,7,6
1632815525,3,0
1632816124,3,3
1632816725,4,4
1632817325,1,18
1632817925,3,0
1632819124,3,37
1632820325,3,6
1632820925,10,4
1632822125,2,3
1632822725,4,3
1632823325,0,8
1632824525,2,18
1632825725,9,3
1632826925,4,3
1632827525,9,0
1632828124,0,16
1632828725,4,0
1632829325,1,0
1632829925,1,1
1632830524,2,1
1632831125,3,5
1632831724,3,0
1632832326,1,12
1632832925,3,12
1632833525,1,0
1632834125,2,0
1632835325,3,12
1632836525,4,4
1632837725,5,6
1632838325,4,8
1632838925,9,0
1632839525,5,6
1632840125,1,3
1632840724,6,26
1632841325,2,0
1632841925,9,11
1632842525,6,4
1632843724,4,29
1632844325,10,0
1632844924,2,0
1632845524,2,20
1632846725,9,31
1632847324,2,0
1632847924,0,3
1632849125,5,3
1632849725,4,11
1632850325,2,0
1632851525,9,4
1632852125,2,0
1632853325,1,12
1632853925,3,2
1632854525,1,11
1632855725,0,74
1632856324,6,0
1632857525,2,0
1632858125,1,0
1632858725,2,0
1632859325,1,0
1632860525,2,0
1632861125,6,0
1632861724,4,0
1632862325,3,0
1632862925,2,0
1632863525,7,0
1632864124,2,0
1632864726,3,0
1632865325,3,0
1632865925,4,0
1632866525,2,0
1632867725,1,16
1632868325,1,0
1632868925,1,0
1632870725,2,27
1632871325,3,7
1632871925,1,0
1632872525,2,4
1632873125,1,0
1632873726,1,0
1632874326,0,1
1632874925,8,0
1632875526,6,11
1632876125,2,0
1632876725,0,2
1632877325,4,0
1632877925,2,1
1632878524,1,11
1632879126,4,3
1632880926,3,20
1632881526,5,3
1632882125,2,23
1632883325,1,31
1632884525,3,15
1632885125,5,33
1632885725,2,0
1632886924,1,26
1632887525,3,0
1632888125,3,0
1632888725,4,11
1632889325,2,1
1632890525,3,12
1632891725,2,1
1632892925,3,2
1632893525,2,5
1632894725,11,5
1632895325,2,21
1632895925,4,0
1632897125,2,12
1632897725,4,0
1632898925,4,71
1632900124,3,2
1632900725,2,7
1632901325,2,5
1632901925,4,0
1632902525,2,0
1632903125,3,13
1632903724,5,0
1632904325,1,3
1632904925,1,0
1632905525,4,1
1632906124,1,1
1632907325,0,37
1632908525,2,12
1632909125,2,0
1632909725,7,7
1632910324,2,2
1632910924,2,0
1632911525,0,1
1632912725,2,21
1632913924,1,0
1632915125,2,9
1632915724,4,18
1632916324,2,0
1632917525,4,44
1632918125,6,0
1632919325,6,18
1632920525,4,4
1632921725,0,27
1632922325,1,0
1632923525,3,16
1632924125,7,0
1632924725,3,0
1632925925,4,7
1632926525,6,0
1632927125,4,3
1632927725,0,16
1632928325,6,0
1632928924,3,6
1632929525,31,11
1632930124,1,20
1632931325,10,17
1632932524,13,15
1632933724,6,4
1632934925,4,8
1632935525,7,0
1632936124,1,22
1632937325,5,10
1632938525,6,5
1632939124,5,0
1632939725,0,42
1632940925,5,0
1632942125,3,20
1632942725,6,6
1632943925,4,27
1632944525,2,0
1632945725,2,12
1632946925,4,1
1632947525,7,6
1632948725,3,3
1632949925,2,23
1632950525,3,0
1632951126,7,0
1632951725,1,2
1632952325,2,24
1632952925,6,0
1632953525,12,1
1632954725,2,3
1632955925,6,10
1632956525,3,13
1632957125,3,0
1632957725,1,6
1632958326,6,1
1632958926,2,3
1632959525,0,1
1632960125,2,0
1632961325,2,11
1632961925,9,0
1632962525,2,40
1632963125,3,0
1632963725,3,9
1632964325,3,7
1632964925,4,0
1632965525,3,1
1632966125,2,0
1632966725,1,0
1632967326,1,0
1632968525,2,3
1632969725,2,17
1632970325,3,4
1632970925,1,0
1632971526,4,0
1632972125,1,14
1632972726,3,3
1632973325,2,34
1632974526,4,7
1632975126,2,6
1632975725,3,7
1632976326,1,6
1632976925,3,37
1632978126,2,0
1632979326,2,27
1632980525,1,29
1632981725,2,7
1632982325,3,5
1632983526,4,12
1632984125,9,21
1632985325,3,25
1632985924,2,0
1632986525,6,5
1632987125,1,0
1632987725,5,0
1632988325,17,2
1632988925,2,6
1632989525,13,49
1632990125,4,0
1632990726,1,5
1632991325,8,20
1632992525,0,14
1632993125,3,11
1632993725,2,0
1632994325,2,1
1632994924,4,0
1632996125,4,4
1632996725,4,5
1632997325,2,0
1632997925,3,5
1632998525,2,0
1632999725,5,20
1633000925,4,3
1633001526,3,39
1633002125,1,0
1633002725,0,6
1633003326,5,20
1633004525,2,21
1633005726,3,23
1633006325,2,11
1633006925,1,55
1633007525,3,0
1633008125,1,0
1633008725,1,0
1633009325,4,0
1633009925,3,0
1633010525,4,0
1633011125,1,0
1633011725,5,0
1633012325,3,0
1633012924,1,0
1633014124,1,0
1633014725,1,0
1633015325,2,0
1633015925,2,0
1633017124,6,0
1633017725,4,0
1633018324,2,0
1633018925,2,0
1633019525,3,23
1633020125,1,0
1633020724,7,7
1633021324,6,26
1633021925,7,0
1633022525,5,4
1633023125,2,14
1633023724,4,14
1633024324,2,3
1633024924,6,7
1633026124,1,27
1633027325,6,19
1633027925,21,0
1633028525,8,0
1633029124,1,16
1633030325,11,12
1633030924,12,2
1633031525,8,0
1633032125,4,6
1633032724,1,0
1633033324,4,2
1633034525,4,3
1633035125,6,5
1633036325,5,16
1633036924,4,0
1633037525,2,1
1633038125,2,2
1633038724,2,9
1633039325,8,5
1633039925,19,0
1633040524,0,4
1633041125,3,3
1633041725,4,0
1633042324,4,6
1633042925,5,0
1633044125,4,3
1633044725,2,10
1633045324,0,36
1633045925,3,12
1633046525,5,0
1633047124,7,19
1633047724,3,4
1633048325,3,0
1633048925,3,3
1633050125,5,13
1633050724,7,0
1633051324,4,0
1633051925,4,6
1633052525,3,0
1633053125,0,6
1633053724,3,4
1633054325,4,3
1633054925,4,0
1633056124,3,9
1633057325,3,26
1633058525,1,17
