DateTime,AddedIPs,RemovedIPs
1632376925,0,1
1632378125,1,1
1632378725,0,4
1632379325,1,0
1632381125,0,13
1632381724,1,0
1632382325,0,1
1632383525,0,1
1632385925,2,0
1632387124,3,0
1632387724,0,1
1632390124,13,0
1632390725,0,1
1632395525,0,2
1632396725,0,1
1632397924,1,0
1632398525,2,0
1632400925,1,0
1632402125,1,0
1632403324,2,2
1632406324,0,1
1632407525,1,1
1632408725,3,1
1632409925,0,1
1632410524,0,7
1632411124,1,0
1632413524,1,0
1632414725,2,0
1632415924,3,0
1632416524,1,0
1632421324,2,0
1632423124,1,1
1632423724,1,0
1632424925,0,1
1632425525,0,1
1632426724,1,0
1632427924,1,4
1632429125,2,0
1632430924,1,0
1632432725,3,1
1632435125,1,0
1632435725,0,1
1632436325,1,0
1632438125,0,1
1632439925,0,2
1632440524,3,0
1632441725,1,1
1632442325,33,0
1632443525,0,1
1632444125,1,0
1632444725,2,0
1632447725,6,0
1632448325,1,0
1632450125,1,0
1632451325,2,0
1632451924,0,1
1632453725,1,2
1632454925,1,0
1632456124,2,3
1632457325,0,1
1632459125,14,0
1632459725,4,1
1632461525,2,1
1632464525,1,1
1632465724,2,0
1632466324,1,0
1632468124,0,1
1632469925,0,3
1632471125,1,55
1632471724,2,2
1632474124,3,0
1632475324,2,2
1632476524,1,0
1632477725,2,0
1632478925,1,0
1632479525,0,1
1632480725,1,0
1632482525,1,0
1632484324,2,0
1632486124,1,1
1632487325,2,0
1632487925,1,1
1632488525,1,2
1632489725,1,2
1632490325,1,0
1632490924,3,0
1632492124,0,1
1632493925,0,1
1632496924,8,0
1632497524,0,3
1632499325,2,0
1632500525,0,5
1632502924,2,0
1632504124,3,3
1632505324,0,1
1632508325,0,1
1632508925,1,0
1632509524,1,1
1632512525,1,0
1632513725,3,1
1632514924,0,2
1632516125,1,1
1632517324,1,0
1632519725,2,0
1632522125,2,1
1632522725,1,0
1632525125,1,0
1632528125,0,6
1632529925,1,0
1632531725,1,6
1632532925,0,1
1632535325,1,3
1632546725,1,30
1632548525,0,1
1632549125,1,0
1632550925,1,3
1632552125,2,0
1632553325,0,1
1632553925,0,1
1632555725,2,0
1632557525,2,0
1632558124,1,0
1632559325,2,1
1632561725,0,1
1632562326,0,1
1632564125,0,1
1632567125,0,1
1632567725,1,0
1632568325,0,6
1632568925,1,0
1632570124,0,2
1632571325,0,3
1632571925,1,0
1632573126,0,1
1632575525,0,2
1632576725,0,2
1632577325,1,0
1632579725,0,1
1632582125,26,1
1632582724,2,16
1632583925,0,26
1632584524,2,1
1632586924,1,0
1632594124,1,0
1632597124,1,0
1632600125,0,5
1632601925,0,1
1632603725,0,1
1632604925,0,1
1632606724,1,2
1632607325,0,1
1632608524,0,2
1632609724,0,2
1632610325,1,0
1632610924,0,1
1632612125,0,1
1632615725,1,11
1632618125,0,1
1632619326,0,2
1632620525,1,0
1632621725,1,0
1632622925,1,3
1632624126,1,2
1632625325,0,1
1632626525,4,1
1632627125,1,0
1632628925,2,2
1632630726,3,0
1632631325,1,1
1632633125,1,1
1632634925,1,3
1632635525,0,2
1632637925,0,1
1632639125,0,1
1632640325,2,2
1632643325,1,0
1632643925,0,2
1632650525,0,4
1632651725,2,0
1632653525,2,0
1632655325,1,3
1632658325,2,0
1632658925,0,2
1632659525,1,1
1632660126,2,0
1632661325,0,1
1632663725,1,0
1632664925,0,2
1632665525,1,0
1632666125,1,0
1632666725,0,1
1632667325,1,0
1632668525,4,1
1632670325,1,1
1632672124,1,1
1632673925,0,3
1632674525,0,1
1632676325,2,0
1632678725,1,0
1632681725,2,0
1632682925,2,0
1632684124,2,0
1632687125,0,1
1632690125,2,1
1632692525,3,1
1632695525,0,2
1632696725,0,1
1632697325,1,0
1632697925,1,2
1632699125,1,1
1632699725,7,0
1632700926,1,0
1632702125,1,5
1632703325,1,1
1632707525,3,4
1632708725,0,1
1632711725,0,5
1632712326,0,2
1632713526,1,1
1632715925,1,1
1632716525,1,0
1632717725,0,1
1632721325,2,0
1632723125,1,1
1632724326,0,1
1632724925,1,2
1632726126,2,0
1632726725,2,0
1632727926,1,0
1632730925,1,2
1632732125,0,14
1632732725,1,10
1632733925,0,10
1632735125,0,6
1632737525,0,2
1632739324,1,3
1632740525,2,0
1632741725,0,2
1632742325,2,0
1632745325,1,0
1632748325,3,0
1632750725,1,0
1632751925,0,1
1632753725,8,3
1632754324,1,0
1632754924,0,1
1632755524,0,1
1632757325,1,0
1632759125,3,0
1632759725,0,1
1632760925,0,1
1632763325,1,1
1632765126,1,0
1632766325,1,0
1632769325,13,0
1632769925,6,0
1632771126,7,0
1632771725,1,0
1632772325,0,2
1632772925,1,24
1632773525,3,0
1632774125,0,4
1632774726,2,0
1632775925,6,0
1632776525,2,0
1632777125,1,0
1632777725,1,0
1632778325,2,0
1632778924,2,0
1632779525,0,1
1632780125,1,0
1632780725,1,0
1632781325,5,0
1632783726,1,1
1632784925,0,1
1632785526,2,0
1632786125,1,0
1632787326,1,0
1632788525,2,1
1632789126,1,0
1632790925,0,1
1632792125,0,1
1632792725,1,1
1632794525,1,0
1632795725,31,0
1632796325,1,1
1632797525,0,2
1632798125,0,1
1632798725,1,0
1632799925,1,1
1632801726,0,1
1632802325,1,0
1632802925,1,0
1632804124,1,0
1632805924,0,2
1632808325,1,0
1632808925,0,1
1632810125,2,0
1632811324,1,0
1632811924,2,0
1632813125,1,0
1632813724,6,0
1632816725,3,0
1632819124,0,1
1632820325,2,1
1632820925,1,0
1632821525,0,1
1632822725,0,1
1632823325,0,1
1632826925,2,1
1632829325,1,0
1632831125,0,1
1632833525,1,1
1632834725,0,1
1632835325,0,2
1632835926,0,3
1632837725,1,1
1632838325,0,1
1632839525,0,1
1632841325,7,1
1632842525,2,0
1632843724,1,7
1632844924,0,2
1632846725,0,1
1632850325,1,0
1632850925,1,0
1632852125,1,0
1632853325,1,1
1632857525,3,0
1632859325,1,0
1632862925,1,0
1632865325,1,0
1632865925,1,0
1632866525,1,0
1632868325,0,1
1632868925,0,1
1632870725,1,0
1632871325,4,3
1632871925,1,0
1632874326,1,5
1632876125,1,1
1632877925,1,5
1632878524,1,0
1632879126,0,2
1632880325,0,1
1632880925,0,3
1632882125,0,2
1632882725,1,1
1632883925,1,1
1632885725,0,1
1632886924,1,0
1632887525,0,1
1632888725,4,0
1632889925,5,15
1632891125,0,44
1632892325,1,2
1632893525,0,3
1632894125,2,0
1632895325,1,0
1632896525,0,1
1632898325,0,1
1632899524,1,0
1632900124,1,0
1632901925,0,1
1632904325,1,0
1632905525,0,1
1632906725,0,1
1632907325,3,1
1632908525,0,2
1632909725,2,3
1632910924,2,2
1632912725,1,0
1632915124,1,0
1632915724,0,4
1632917525,1,1
1632918726,1,2
1632919325,2,0
1632921725,2,2
1632923525,0,1
1632924125,0,4
1632925325,0,1
1632926525,2,0
1632927125,1,0
1632927725,0,2
1632928325,1,13
1632929525,1,2
1632931325,1,1
1632932524,1,3
1632933125,0,2
1632934325,2,1
1632936124,1,1
